year,genre,Number_of_Games
1977,Action,1
1977,Racing,1
1977,Shooter,1
1978,Action,3
1978,Puzzle,3
1978,Sports,1
1979,Action,1
1980,Fighting,2
1980,Misc,2
1980,Sports,1
1981,Action,3
1981,Shooter,2
1981,Sports,1
1982,Action,23
1982,Platform,1
1982,Puzzle,2
1982,Racing,1
1982,Shooter,13
1982,Sports,4
1983,Action,21
1983,Platform,7
1983,Puzzle,2
1983,Racing,3
1983,Shooter,2
1983,Sports,2
1984,Action,6
1984,Platform,1
1984,Puzzle,1
1984,Shooter,2
1985,Action,1
1985,Platform,1
1985,Puzzle,1
1986,Action,2
1986,Fighting,1
1986,Platform,3
1986,Shooter,4
1986,Simulation,1
1987,Action,1
1987,Platform,2
1987,Puzzle,1
1987,Role-Playing,1
1987,Shooter,1
1987,Sports,1
1988,Action,1
1988,Platform,2
1988,Role-Playing,2
1988,Shooter,3
1988,Sports,3
1989,Action,3
1989,Puzzle,2
1989,Role-Playing,1
1989,Sports,1
1990,Action,2
1990,Platform,1
1990,Puzzle,1
1990,Shooter,1
1990,Sports,2
1991,Action,2
1991,Adventure,1
1991,Fighting,1
1991,Misc,1
1991,Platform,1
1991,Puzzle,1
1991,Role-Playing,2
1991,Shooter,2
1991,Sports,6
1991,Strategy,3
1992,Action,1
1992,Adventure,2
1992,Platform,7
1992,Puzzle,2
1992,Racing,1
1992,Role-Playing,3
1992,Shooter,1
1992,Sports,5
1992,Strategy,1
1993,Action,2
1993,Adventure,2
1993,Fighting,6
1993,Misc,3
1993,Platform,3
1993,Puzzle,6
1993,Racing,1
1993,Role-Playing,5
1993,Shooter,3
1993,Simulation,4
1993,Sports,7
1993,Strategy,3
1994,Action,6
1994,Adventure,2
1994,Fighting,18
1994,Misc,5
1994,Platform,8
1994,Puzzle,1
1994,Racing,6
1994,Role-Playing,14
1994,Shooter,3
1994,Simulation,4
1994,Sports,15
1994,Strategy,8
1995,Action,3
1995,Adventure,13
1995,Fighting,21
1995,Misc,21
1995,Platform,11
1995,Puzzle,9
1995,Racing,7
1995,Role-Playing,15
1995,Shooter,19
1995,Simulation,10
1995,Sports,25
1995,Strategy,10
1996,Action,12
1996,Adventure,14
1996,Fighting,30
1996,Misc,20
1996,Platform,9
1996,Puzzle,11
1996,Racing,22
1996,Role-Playing,24
1996,Shooter,32
1996,Simulation,11
1996,Sports,54
1996,Strategy,12
1997,Action,24
1997,Adventure,17
1997,Fighting,20
1997,Misc,9
1997,Platform,10
1997,Puzzle,11
1997,Racing,28
1997,Role-Playing,16
1997,Shooter,25
1997,Simulation,12
1997,Sports,37
1997,Strategy,16
1998,Action,30
1998,Adventure,21
1998,Fighting,24
1998,Misc,20
1998,Platform,14
1998,Puzzle,6
1998,Racing,34
1998,Role-Playing,17
1998,Shooter,20
1998,Simulation,6
1998,Sports,58
1998,Strategy,25
1999,Action,30
1999,Adventure,20
1999,Fighting,24
1999,Misc,17
1999,Platform,17
1999,Puzzle,9
1999,Racing,41
1999,Role-Playing,21
1999,Shooter,17
1999,Simulation,15
1999,Sports,59
1999,Strategy,16
2000,Action,38
2000,Adventure,21
2000,Fighting,27
2000,Misc,16
2000,Platform,14
2000,Puzzle,11
2000,Racing,50
2000,Role-Playing,33
2000,Shooter,22
2000,Simulation,21
2000,Sports,78
2000,Strategy,21
2001,Action,60
2001,Adventure,26
2001,Fighting,18
2001,Misc,20
2001,Platform,35
2001,Puzzle,18
2001,Racing,55
2001,Role-Playing,36
2001,Shooter,35
2001,Simulation,34
2001,Sports,67
2001,Strategy,21
2002,Action,85
2002,Adventure,34
2002,Fighting,34
2002,Misc,34
2002,Party,1
2002,Platform,49
2002,Puzzle,15
2002,Racing,56
2002,Role-Playing,38
2002,Shooter,53
2002,Simulation,25
2002,Sports,108
2002,Strategy,30
2003,Action,78
2003,Adventure,20
2003,Fighting,33
2003,Misc,35
2003,Platform,47
2003,Puzzle,7
2003,Racing,63
2003,Role-Playing,39
2003,Shooter,43
2003,Simulation,30
2003,Sports,79
2003,Strategy,33
2004,Action,70
2004,Adventure,43
2004,Fighting,29
2004,MMO,1
2004,Misc,69
2004,Party,1
2004,Platform,39
2004,Puzzle,17
2004,Racing,41
2004,Role-Playing,36
2004,Shooter,57
2004,Simulation,21
2004,Sports,56
2004,Strategy,34
2005,Action,109
2005,Action-Adventure,2
2005,Adventure,31
2005,Education,1
2005,Fighting,24
2005,Misc,90
2005,Platform,49
2005,Puzzle,23
2005,Racing,48
2005,Role-Playing,49
2005,Shooter,73
2005,Simulation,23
2005,Sports,65
2005,Strategy,39
2006,Action,118
2006,Adventure,72
2006,Fighting,30
2006,Misc,91
2006,Music,1
2006,Party,2
2006,Platform,33
2006,Puzzle,45
2006,Racing,59
2006,Role-Playing,71
2006,Shooter,50
2006,Simulation,49
2006,Sports,81
2006,Strategy,50
2007,Action,100
2007,Adventure,83
2007,Fighting,44
2007,Misc,126
2007,Platform,29
2007,Puzzle,62
2007,Racing,48
2007,Role-Playing,99
2007,Shooter,58
2007,Simulation,82
2007,Sports,84
2007,Strategy,66
2008,Action,102
2008,Action-Adventure,1
2008,Adventure,201
2008,Fighting,47
2008,Misc,178
2008,Platform,30
2008,Puzzle,62
2008,Racing,46
2008,Role-Playing,87
2008,Shooter,56
2008,Simulation,133
2008,Sports,134
2008,Strategy,63
2009,Action,142
2009,Action-Adventure,2
2009,Adventure,224
2009,Fighting,37
2009,Misc,180
2009,Music,1
2009,Platform,26
2009,Puzzle,84
2009,Racing,54
2009,Role-Playing,103
2009,Shooter,57
2009,Simulation,133
2009,Sports,114
2009,Strategy,59
2009,Visual Novel,1
2010,Action,115
2010,Adventure,161
2010,Fighting,30
2010,Misc,169
2010,Music,1
2010,Platform,9
2010,Puzzle,51
2010,Racing,32
2010,Role-Playing,80
2010,Shooter,52
2010,Simulation,94
2010,Sports,112
2010,Strategy,49
2010,Visual Novel,2
2011,Action,111
2011,Action-Adventure,1
2011,Adventure,112
2011,Education,1
2011,Fighting,27
2011,MMO,1
2011,Misc,135
2011,Music,2
2011,Party,3
2011,Platform,28
2011,Puzzle,56
2011,Racing,43
2011,Role-Playing,83
2011,Shooter,55
2011,Simulation,54
2011,Sports,66
2011,Strategy,45
2011,Visual Novel,6
2012,Action,55
2012,Action-Adventure,16
2012,Adventure,30
2012,Board Game,1
2012,Fighting,22
2012,Misc,68
2012,Music,16
2012,Party,4
2012,Platform,13
2012,Puzzle,15
2012,Racing,14
2012,Role-Playing,49
2012,Shooter,26
2012,Simulation,28
2012,Sports,30
2012,Strategy,15
2012,Visual Novel,44
2013,Action,45
2013,Action-Adventure,13
2013,Adventure,9
2013,Education,1
2013,Fighting,12
2013,MMO,2
2013,Misc,49
2013,Music,10
2013,Party,2
2013,Platform,12
2013,Puzzle,3
2013,Racing,8
2013,Role-Playing,29
2013,Shooter,20
2013,Simulation,21
2013,Sports,17
2013,Strategy,10
2013,Visual Novel,32
2014,Action,46
2014,Action-Adventure,21
2014,Adventure,48
2014,Fighting,13
2014,MMO,3
2014,Misc,60
2014,Music,13
2014,Platform,7
2014,Puzzle,14
2014,Racing,8
2014,Role-Playing,37
2014,Shooter,15
2014,Simulation,13
2014,Sports,22
2014,Strategy,6
2014,Visual Novel,17
2015,Action,116
2015,Action-Adventure,10
2015,Adventure,34
2015,Fighting,13
2015,MMO,3
2015,Misc,24
2015,Music,16
2015,Party,1
2015,Platform,6
2015,Puzzle,15
2015,Racing,9
2015,Role-Playing,43
2015,Shooter,13
2015,Simulation,18
2015,Sports,26
2015,Strategy,12
2015,Visual Novel,13
2016,Action,91
2016,Action-Adventure,15
2016,Adventure,66
2016,Fighting,14
2016,Misc,20
2016,Music,6
2016,Party,2
2016,Platform,9
2016,Puzzle,6
2016,Racing,10
2016,Role-Playing,47
2016,Shooter,25
2016,Simulation,18
2016,Sports,20
2016,Strategy,11
2016,Visual Novel,6
2017,Action,62
2017,Action-Adventure,6
2017,Adventure,96
2017,Board Game,1
2017,Fighting,8
2017,MMO,4
2017,Misc,21
2017,Music,6
2017,Party,3
2017,Platform,19
2017,Puzzle,9
2017,Racing,23
2017,Role-Playing,53
2017,Shooter,25
2017,Simulation,23
2017,Sports,16
2017,Strategy,18
2017,Visual Novel,6
2018,Action,48
2018,Action-Adventure,29
2018,Adventure,31
2018,Board Game,1
2018,Fighting,17
2018,MMO,2
2018,Misc,15
2018,Music,9
2018,Party,4
2018,Platform,19
2018,Puzzle,7
2018,Racing,24
2018,Role-Playing,47
2018,Shooter,14
2018,Simulation,29
2018,Sports,21
2018,Strategy,10
2018,Visual Novel,43
2019,Action,1
2019,Action-Adventure,2
2019,Adventure,2
2019,Misc,1
2019,Music,1
2019,Puzzle,1
2019,Role-Playing,13
2019,Visual Novel,1
2020,Action,4
2020,Action-Adventure,1
2020,Misc,3
2020,Puzzle,3
2020,Racing,3
2020,Role-Playing,6
2020,Simulation,1
2020,Strategy,1
